Price,Close,High,Low,Open,Volume
Ticker,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,
2024-09-16,374.53057861328125,374.53057861328125,367.19462285537946,369.375596575546,7689238
2024-09-17,376.7115478515625,378.09942645084504,368.7807784231086,368.7807784231086,10147851
2024-09-19,385.4353942871094,386.4267404969563,373.3409886790675,376.3150273086084,25801963
2024-09-20,385.23712158203125,389.9955710209116,380.4786418896672,386.6250001472477,28407069
2024-09-23,384.24578857421875,388.607705751343,381.86656377337687,384.6423209987783,15223032
2024-09-24,398.7194519042969,398.7194519042969,386.0302024506714,389.599054804925,42919010
2024-09-25,401.8917236328125,414.3826911882261,397.9263390281405,414.3826911882261,40112126
2024-09-26,426.27886962890625,426.27886962890625,403.27962549171997,404.4692530432413,50254878
2024-09-27,434.0113525390625,440.95077591156866,428.85637047157746,439.36464620064095,57154793
2024-09-30,440.7525329589844,453.4417524015085,430.44253838024787,445.70926403082746,75459468
2024-10-02,465.9327087402344,475.4496382034978,445.31272011440086,446.1057849640542,48766943
2024-10-03,462.16558837890625,472.4755823138083,449.27808839690783,466.9240378093276,31600782
2024-10-04,473.4669494628906,474.85482808718746,458.2002240886551,465.9327123193698,24663665
2024-10-07,474.260009765625,478.2253945132531,465.536175422237,475.6478883765979,25334387
2024-10-08,434.804443359375,472.6738495237263,434.804443359375,467.91539993090754,70468024
2024-10-09,430.4425354003906,449.0798320001046,420.33079198243786,445.1144471700816,46372903
2024-10-10,435.002685546875,444.7178961259322,432.62346079913095,434.209620715455,33111230
2024-10-14,432.2269287109375,436.9853782100313,420.33077470971904,436.9853782100313,30316807
2024-10-15,413.391357421875,430.04596115906037,409.0294402767536,430.04596115906037,33478410
2024-10-16,412.20172119140625,422.1151827905597,409.02943163176747,411.40865636486757,22490256
2024-10-17,409.0294494628906,423.10654739527155,406.45194328405086,414.38271290910546,16476899
2024-10-18,427.0719299316406,431.83040983340334,407.8398197440812,409.02944728289316,25963857
2024-10-21,417.35675048828125,427.66674492470565,415.5723394284427,426.8736800655519,16334100
2024-10-22,417.9515686035156,419.9342610254929,414.38271619325934,419.5377285917945,11027704
2024-10-23,424.49444580078125,428.45983051539486,412.9948240777049,419.33943357038976,14656951
2024-10-24,418.34808349609375,421.9169357567099,415.9688587401777,421.3221220043598,11202752
2024-10-25,417.35675048828125,423.89964146349763,414.97752565733487,423.89964146349763,11951879
2024-10-28,413.5896301269531,418.5463609278347,410.0207778996216,417.35673343422957,15551935
2024-10-29,414.77923583984375,419.73596674197734,411.60694621456895,415.77058202027047,13797786
2024-10-30,407.4432678222656,414.38269087519956,407.0467354127947,410.0207738640521,17895482
2024-10-31,401.0986633300781,415.17576068309705,401.0986633300781,406.84845897020807,22753709
2024-11-01,415.57232666015625,418.7446162527891,402.48654511177864,402.48654511177864,21086569
2024-11-04,415.3740539550781,420.1325035696373,412.40001538260736,419.33943871837243,11706119
2024-11-05,424.0978698730469,424.0978698730469,411.6069326151559,411.6069326151559,15270863
2024-11-06,416.1671142578125,422.51175401252704,409.6242536726755,421.3221264951469,20755203
2024-11-07,424.69268798828125,425.88231547913966,410.81384177785714,413.3913478390612,19924018
2024-11-08,417.158447265625,432.2269208270438,415.7705687081615,431.2355746783579,19389836
2024-11-11,409.624267578125,412.00349244016786,405.8571338141954,408.4346400203608,22857586
2024-11-12,400.3055725097656,410.2190342386205,399.5125076728509,405.8571171286212,27303282
2024-11-13,400.3055725097656,403.6761737003637,392.57308446265256,393.76271197150885,28307185
2024-11-14,399.9090576171875,411.4086797773231,394.35751275503736,398.1246465291861,34898922
2024-11-15,397.5298156738281,403.4778927163293,395.5471233263277,400.5038541950787,29061324
2024-11-18,400.7021484375,409.8225153776705,398.12464225203337,401.69349464318066,20493537
2024-11-19,402.6848449707031,405.4606022736271,399.90905741429356,403.0813774063372,13879296
2024-11-20,407.2449951171875,410.219033631442,402.68482693145137,404.66751927428766,15005135
2024-11-21,404.0727233886719,407.839826905247,403.4779096088217,405.85713447473677,12501718
2024-11-22,397.13330078125,408.8311740463573,396.14195456374983,405.2623216126597,16949546
2024-11-25,391.780029296875,398.91770376575425,390.39212041778717,396.5384789427945,27888308
2024-11-26,390.3921203613281,395.74541402906965,388.8059906485744,388.8059906485744,16940574
2024-11-27,399.3142395019531,402.6848408036773,388.60771258319795,391.18521876837536,16685594
2024-11-28,396.5384826660156,400.7021488354029,393.96097647798945,397.9263613046496,13067643
2024-11-29,394.5557861328125,399.31423577372374,391.5817475438717,391.5817475438717,15626995
2024-12-02,396.3401794433594,398.1246206689377,392.1765437573106,394.5557684712647,13334410
2024-12-03,400.900390625,400.900390625,390.98692878831116,399.7107933566881,18362569
2024-12-04,399.7107849121094,402.0900096519525,396.34018375605723,398.7194387493844,14053234
2024-12-05,401.6934814453125,403.08136003696876,397.3315340808438,399.9090401816251,13314801
2024-12-06,409.0294494628906,411.0121418691543,401.4952122683917,403.2796233326349,27711445
2024-12-09,415.17578125,417.5550363602462,402.68484318863466,402.68484318863466,22461949
2024-12-10,407.6415710449219,427.2702137759253,406.8484759299056,426.27886757226884,30282843
2024-12-11,406.253662109375,411.40867446917804,403.6761861829587,411.2103931270759,13098201
2024-12-12,412.00347900390625,419.1411533572609,405.65886949420724,410.41731906311037,23414258
2024-12-13,406.253662109375,411.40867446917804,405.0640648172179,409.42598206209766,16296064
2024-12-16,402.09002685546875,407.83982274388643,400.3055855341256,406.45194410738753,14059845
2024-12-17,399.115966796875,404.46922996632077,398.3228717232822,398.52115305505134,16779048
2024-12-18,402.4865417480469,405.26229890008807,400.50384942416486,404.46923407192884,14906072
2024-12-19,411.60693359375,418.34807531255893,397.9263385712492,398.7194336433631,34671236
2024-12-20,422.7099914550781,426.08056230757006,410.615586601609,410.615586601609,44834041
2024-12-23,416.5636901855469,427.2702171686573,412.59830533943403,426.8736847347431,20856154
2024-12-24,416.3653869628906,416.3653869628906,416.3653869628906,416.3653869628906,0
2024-12-27,413.78790283203125,417.35675524587595,412.0034917518516,413.98618417582253,13545082
2024-12-30,415.3740539550781,418.14981118799017,412.20173404304876,414.3827077642545,13515622
2024-12-31,416.1671142578125,416.1671142578125,416.1671142578125,416.1671142578125,0
2025-01-02,412.4000244140625,421.3221403268667,410.02079955467843,413.3913706265963,20733037
2025-01-03,410.6156005859375,415.37405015698647,406.8484669431629,414.38270397522757,16843241
2025-01-06,405.85711669921875,411.4086613122007,403.6761732732687,411.4086613122007,16869318
2025-01-07,376.31500244140625,389.400753394578,373.34096400839223,377.3063485857443,142920468
2025-01-08,366.0050354003906,376.51328109730247,362.4361829686632,367.9877278342964,95456188
